nly used for treating NE in children but is poorly understood by most scholars.,None,"A total of 369 children with NE were randomized to receive either suoquan, desmopressin plus suoquan, desmopressin, or behavioral intervention for 2 months, and the response rates evaluated. Subsequently, the viable demographic factors that could lead to success were investigated on logistic regression analysis. Moreover, after 3 months of follow up, the relapse rate was investigated.","The complete response (CR) rate in the desmopressin plus suoquan group (37.5%) was higher than that in the behavioral intervention group (6.3%, P < 0.007). The desmopressin group had a lower CR rate (22.5%) and a higher non-response rate (25.0%) than the desmopressin plus suoquan group (non-response rate, 21.9%; P > 0.007). The relapse rate in the desmopressin group was significantly higher than that in the desmopressin plus suoquan group (72.2% vs. 30.6%, P < 0.007). On Multivariate analysis, treatment group, NE frequency, and age were independent predictors of CR at 2 months (P < 0.05).","Combined traditional Chinese and Western treatment in children with NE is effective and has a low relapse rate. NE frequency, treatment method, and age are important predictive factors for CR after treatment."
9092,27977890,Scissor-type knife significantly improves self-completion rate of colorectal endoscopic submucosal dissection: Single-center prospective randomized trial,"Yamashina T, Takeuchi Y, Nagai K, Matsuura N, Ito T, Fujii M, Hanaoka N, Higashino K, Uedo N, Ishihara R, Iishi H.",Dig Endosc. 2017 May;29(3):322-329. doi: 10.1111/den.12784. Epub 2017 Jan 20.,Yamashina T,Dig Endosc,2017,2016/12/16,,,10.1111/den.12784,None,"Colorectal endoscopic submucosal dissection (C-ESD) is recognized as a difficult procedure. Recently, scissors-type knives were launched to reduce the difficulty of C-ESD. The aim of this study was to evaluate the efficacy and safety of the combined use of a scissors-type knife and a needle-type knife with a water-jet function (WJ needle-knife) for C-ESD compared with using the WJ needle-knife alone.",This was a prospective randomized controlled trial in a referral center. Eighty-five patients with superficial colorectal neoplasms were enrolled and randomly assigned to undergo C-ESD using a WJ needle-knife alone (Flush group) or a scissor-type knife-supported WJ needle-knife (SB Jr group). Procedures were conducted by two supervised residents. Primary endpoint was self-completion rate by the residents.,"Self-completion rate was 67% in the SB Jr group, which was significantly higher than that in the Flush group (39%, P = 0.01). Even after exclusion of four patients in the SB Jr group in whom C-ESD was completed using the WJ needle-knife alone, the self-completion rate was significantly higher (63% vs 39%; P = 0.03). Median procedure time among the self-completion cases did not differ significantly between the two groups (59 vs 51 min; P = 0.14). No fatal adverse events were observed in either group.","In this single-center phase II trial, scissor-type knife significantly improved residents' self-completion rate for C-ESD, with no increase in procedure time or adverse events. A multicenter trial would be warranted to confirm the validity of the present study."
9093,27956201,Pregnancy in advanced age and the risk of stroke in postmenopausal women: analysis of Women's Health Initiative Study,"Qureshi AI, Saeed O, Malik AA, Suri MF.",Am J Obstet Gynecol. 2017 Apr;216(4):409.e1-409.e6. doi: 10.1016/j.ajog.2016.12.004. Epub 2016 Dec 9.,Qureshi AI,Am J Obstet Gynecol,2017,2016/12/14,,,10.1016/j.ajog.2016.12.004,"The incidence of pregnancy in advanced age among women is increasing because of the availability of assisted reproduction, although the long-term health consequences are not known.",The purpose of this study was to determine the effect of pregnancy in advanced age on the occurrence of cardiovascular events in a large cohort of postmenopausal women.,"We analyzed the data for 72,221 women aged 50-79 years who were enrolled in the observational arm of the Women's Health Initiative study. We determined the effect of pregnancy in advanced age (last pregnancy at age ≥40 year) on the risk of ischemic stroke, hemorrhagic stroke, myocardial infarction, and cardiovascular death over a mean period (±standard deviation) of 12±1 years using Cox Proportional Hazards analysis after adjusting for potential confounders.","A total of 3306 of the 72,221 participants (4.6%) reported pregnancy in advanced age. Compared with pregnancy in normal age, the rates of ischemic stroke (3.8% vs 2.4%), hemorrhagic stroke (1.0% vs 0.5%), and cardiovascular death (3.9% vs 2.3%) were significantly higher among women with pregnancy in advanced age. In multivariate analysis, women with pregnancy in advanced age were 50% more likely to experience a hemorrhagic stroke (hazard ratio, 1.5; 95% confidence interval, 1.0-2.1) after adjustment for age, race/ethnicity, congestive heart failure, systolic blood pressure, atrial fibrillation, alcohol use, and cigarette smoking. There was no significant difference in the risk of ischemic stroke, myocardial infarction, and cardiovascular death among women with pregnancy in advanced age after adjustment for potential confounders.",Women with pregnancy at an advanced age have a higher risk for hemorrhagic stroke in the postmenopausal period.
9094,27956161,Prolonged Cardiopulmonary Bypass is a Risk Factor for Intestinal Ischaemic Damage and Endotoxaemia,"Adamik B, Kübler A, Gozdzik A, Gozdzik W.",Heart Lung Circ. 2017 Jul;26(7):717-723. doi: 10.1016/j.hlc.2016.10.012. Epub 2016 Nov 24.,Adamik B,Heart Lung Circ,2017,2016/12/14,,,10.1016/j.hlc.2016.10.012,"Intestinal ischaemia-reperfusion, a frequent occurrence during cardiac surgery with cardiopulmonary bypass (CPB) induces a systemic inflammatory reaction. We hypothesised that ischaemia-reperfusion following prolonged CPB could increase intestinal permeability and thus, lead to endotoxin translocation from the intestine to the bloodstream.",None,"Patients subjected to coronary artery bypass grafting with CPB were included: Group 1 (CPB ≥90minutes) or Group 2 (CPB <90minutes). Intestinal Fatty Acid Binding Protein (I-FABP), TNF alpha, IL6, IL8, and endotoxin levels were measured before the induction of general anaesthesia (T1), at 6 (T2), and 24hours (T3) after surgery.","The low level of I-FABP at T1 increased for every patient in Group 1 at T2 (from 1015.5pg/mL to 2608.5pg/mL, p=0.02) and in Group 2 (from 1123.5pg/ml to 2284.0pg/ml, p<0.001). Furthermore, at T3, the I-FABP level was over three times higher in Group 1 than in Group 2 (2178pg/mL vs 615pg/mL; p<0.001). I-FABP correlated with CPB time (R=0.6, p<0.001) at T3. After surgery, endotoxins were elevated in 73% of patients in Group 1 and in 32% in Group 2 and correlated with CPB time (at T2, R=0.5, p=0.002; at T3, R=0.4, p=0.016).","The duration of CPB is linked to the release of biomarkers that indicate ischaemic-reperfusion damage to the gastrointestinal mucosa and endotoxaemia. I-FABP assay may help to identify patients presenting with intestinal damage, who are at risk of bacterial translocation."
9095,27941441,Live Donors of the Initial Observational Study of Uterus Transplantation-Psychological and Medical Follow-Up Until 1 Year After Surgery in the 9 Cases,"Kvarnström N, Järvholm S, Johannesson L, Dahm-Kähler P, Olausson M, Brännström M.",Transplantation. 2017 Mar;101(3):664-670. doi: 10.1097/TP.0000000000001567.,Kvarnström N,Transplantation,2017,2016/12/13,,,10.1097/TP.0000000000001567,The first prospective observational study of uterus transplantation was initiated in 2013 with live donation to 9 women with absolute uterine factor infertility. We explored the medical complications and psychosocial wellbeing of the donors during the first postoperative year.,None,"Complications were registered and graded according to the Clavien-Dindo (C-D) classification. Symptoms related to the surgery were registered. Data on length of hospital stay, sick leave, socioeconomic parameters, and life events were obtained. Psychological evaluations (Psychological General Well-Being, Dyadic Adjustment Scale, Hospital Anxiety and Depression Scale [HADS], SF-36) questionnaires focusing on quality of life, mood, and relationship, were conducted at inclusion and at 3, 6, and 12 months after uterus donation.","One major surgical complication (C-D IIIb) occurred. A ureteric-vaginal fistula developed 2 weeks after uterus procurement. The fistula was surgically repaired. Two self-reported and transient complications (C-D I) were noted (nocturia, meralgia paresthetica). Hospital stays of all donors were 6 days and median sick leave was 56 days (range, 14-132). At inclusion, median scores exceeded the normative values of the Swedish population in Psychological General Well-Being and Dyadic Adjustment Scale. HADS-Anxiety was detected preoperatively in 1 donor. Two donors exceeded 10-point declines in SF-36 summary scores and increased their HADS scores by 6 points during the observation period. All donors returned to their predonation levels of physical health.",The results support that it is feasible to retrieve a uterus safely from a live donor. Further studies are needed to better evaluate the method.
9096,27932115,Relationship Between Albuminuria During the First Year and Antibody-Mediated Rejection in Protocol Biopsies in Kidney Transplant Recipients,"Belmar Vega L, Rodrigo Calabia E, Gómez Román JJ, Ruiz San Millán JC, Martín Penagos L, Arias Rodríguez M.",Transplant Proc. 2016 Nov;48(9):2950-2952. doi: 10.1016/j.transproceed.2016.09.012.,Belmar Vega L,Transplant Proc,2016,2016/12/10,,,10.1016/j.transproceed.2016.09.012,Antibody-mediated rejection is the main cause of deterioration of kidney transplants and frequently is detected only by means of protocol biopsies. The aim of this study was to relate the presence of albuminuria throughout the 1st year to the histologic findings detected by 1-year protocol biopsies in kidney graft recipients.,None,"Retrospective observational study of 86 protocol biopsies 1 year after transplantation. Albuminuria was measured at 3, 6, 9, and 12 months in urine samples and expressed as albumin/creatinine (mg/g).","Analysis of biopsies, reflected according to the Banff criteria, the following categories: fibrosis and tubular atrophy, 35 (40.7%); cellular rejection, 13 (15.1%); antibody-mediated rejection, 8 (9.3%); chronic glomerulopathy, 10 (11.6%); normal, 14 (16.3%); recurrence, 1 (1.2%); and other, 5 (5.8%). The proportions of patients with albuminuria for Banff scale scores (0 vs ≥1, respectively) at 6 and 12 months, respectively, after transplantation, were: for marker glomerulitis, 45.5% versus 59.3% (P = .021) and 36.4% versus 70.4% (P < .001); for marker glomerulopathy, 49.1% versus 50.0% (P = .051) and 42.1% versus 58.3% (P = .019); for marker peritubular capillaritis, 45.8% versus 60.9% (P = .047) and 39.0% versus 69.6% (P = .276); and for marker C4d, 49.2% versus 56.3% (P = .894) and 46.2% versus 56.3% (P = .774).","The presence of albuminuria after renal transplantation is common, especially in patients with proteinuria. Persistent albuminuria after transplantation, even at low levels, can be indicative of subclinical antibody-mediated rejection. Additional broader studies to relate the albuminuria to histologic changes observed in protocol biopsies are required."
9097,27930383,Effect of E-OJ-01 on Cardiac Conditioning in Young Exercising Adults: A Randomized Controlled Trial,"Girandola RN, Srivastava S.",Am J Ther. 2017 May;24(3):e298-e307. doi: 10.1097/MJT.0000000000000542.,Girandola RN,Am J Ther,2017,2016/12/09,,,10.1097/MJT.0000000000000542,None,"Cardiac health is a determinant of athletic performance. A body of data suggests that in healthy young adults, an increase in maximal cardiac output leads to an increase in endurance. Terminalia arjuna (TA) has been studied for multiple benefits in cardiovascular health although its effects as a cardioprotective ergogenic aid require further exploration. The current trial was planned to study the effect of the proprietary TA extract (E-OJ-01) on the markers of cardiac conditioning in healthy young adults.",None,"As compared with placebo, 56 days of E-OJ-01 supplementation significantly improved the LVEF (P = 0.0001) and decreased the right ventricular Myocardial Performance Index (P = 0.001). The fatigue level captured by Borg Scale after completion of exercise showed a greater decrease in the E-OJ-01 group as compared with placebo. Creatine kinase-MB and troponin-T did not change significantly.",TA (E-OJ-01) significantly increased cardiovascular efficiency and improved the cardiac conditioning in young healthy adults.
9098,27929684,Acute effects of snus in never-tobacco users: a pilot study,"Ozga JE, Felicione NJ, Elswick D, Blank MD.",Am J Drug Alcohol Abuse. 2018;44(1):113-119. doi: 10.1080/00952990.2016.1260581. Epub 2016 Dec 8.,Ozga JE,Am J Drug Alcohol Abuse,2018,2016/12/09,PMC6097526,NIHMS1502706,10.1080/00952990.2016.1260581,None,None,None,None,None
9099,27924388,Laparoscopic and robotic skills are transferable in a simulation setting: a randomized controlled trial,"Thomaier L, Orlando M, Abernethy M, Paka C, Chen CCG.",Surg Endosc. 2017 Aug;31(8):3279-3285. doi: 10.1007/s00464-016-5359-y. Epub 2016 Dec 6.,Thomaier L,Surg Endosc,2017,2016/12/08,,,10.1007/s00464-016-5359-y,None,None,None,None,None
9100,27923890,A Comprehensive Nutrition-Focused Quality Improvement Program Reduces 30-Day Readmissions and Length of Stay in Hospitalized Patients,"Sriram K, Sulo S, VanDerBosch G, Partridge J, Feldstein J, Hegazi RA, Summerfelt WT.",JPEN J Parenter Enteral Nutr. 2017 Mar;41(3):384-391. doi: 10.1177/0148607116681468. Epub 2016 Dec 6.,Sriram K,JPEN J Parenter Enteral Nutr,2017,2016/12/08,,,10.1177/0148607116681468,None,None,None,None,None
9101,27920411,"Glycemic indices, glycemic load and glycemic response for seventeen varieties of dates grown in Saudi Arabia","AlGeffari MA, Almogbel ES, Alhomaidan HT, El-Mergawi R, Barrimah IA.",Ann Saudi Med. 2016 Nov-Dec;36(6):397-403. doi: 10.5144/0256-4947.2016.397.,AlGeffari MA,Ann Saudi Med,2016,2016/12/07,PMC6074203,,10.5144/0256-4947.2016.397,"Dates are consumed worldwide, and are an important fruit for many individuals in Saudi Arabia. Currently, limited information is available on the glycemic indices of different date varieties.","To determine the glycemic index (GI), glycemic load (GL) and glycemic response for 17 common date varieties in Saudi Arabia.",Prospective clinical trial on healthy subjects.,"The mean (SEM) GI of the date samples was 55.2 (7.7) (range, 42.8-74.6). Sellaj and Maktoomi exhibited the highest GI (74.6 [10.1] and 71.0 [11.1]), respectively, whereas Shaqra, Sukkary, and Sag'ai had the lowest GI (42.8 [5.5], 43.4 [4.7] and 44.6 [6]), respectively. The GL of the date samples ranged from 8.5 to 24. Sellaj had a high GL (24), whereas Ajwah and Shaqra had a low GL (8.5 and 9.2). The analyses suggested no significant difference in GI between the date varieties. However, the GL values differed significantly between the 17 date varieties (P < .001).",The results provide reliable GI and GL values for 17 common date varieties in Saudi Arabia. The identification of date varieties with lower glycemic responses may help lower the GI of the diet of both healthy and diabetic Saudi individuals.
9102,27920408,Asthma and other allergic diseases among Saudi schoolchildren in Najran: the need for a comprehensive intervention program,Alqahtani JM.,Ann Saudi Med. 2016 Nov-Dec;36(6):379-385. doi: 10.5144/0256-4947.2016.379.,Alqahtani JM,Ann Saudi Med,2016,2016/12/07,PMC6074205,,10.5144/0256-4947.2016.379,"In the last three decades, an increasing incidence of allergic diseases has been associated with increasing morbidity and mortality in children and young adults.","The study aimed to investigate the prevalence and risk factors associated with allergic diseases among Saudi schoolchildren in the southwestern Saudi region of Najran, and to determine the sensitization of patients to a set of allergens.",Cross-sectional observational study.,"The study included 1700 Saudi schoolchildren. The overall prevalence of physician-diagnosed asthma, allergic rhinitis and atopic dermatitis was 27.5%, 6.3% and 12.5%, respectively. Multivariate analysis showed that male gender (adjusted odds ratio [aOR], 1.27), fast food consumption (aOR, 1.53), trucks passing near houses (aOR, 1.86), and having a dog or cat at home (aOR, 1.85) were significant risk factors. A total of 722 (42.5%) children had a positive SPT result to at least one allergen. The most prevalent allergens were grass pollens (60%), cat fur (41.6%), and house dust mites (25%).",The findings of this study highlight the urgent need for developing an effective interven- tion program including several components working in harmony to control and reduce the burden of allergic diseases.
9103,27919936,Smoking cessation interventions for patients with coronary heart disease and comorbidities: an observational cross-sectional study in primary care,"Blane DN, Mackay D, Guthrie B, Mercer SW.",Br J Gen Pract. 2017 Feb;67(655):e118-e129. doi: 10.3399/bjgp16X688405. Epub 2016 Dec 5.,Blane DN,Br J Gen Pract,2017,2016/12/07,PMC5308118,,10.3399/bjgp16X688405,Little is known about how smoking cessation practices in primary care differ for patients with coronary heart disease (CHD) who have different comorbidities.,To determine the association between different patterns of comorbidity and smoking rates and smoking cessation interventions in primary care for patients with CHD.,Cross-sectional study of 81 456 adults with CHD in primary care in Scotland.,"The most deprived quintile had nearly three times higher odds of being current smokers than the least deprived (odds ratio [OR] 2.76; 95% confidence interval [CI] = 2.49 to 3.05). People with CHD and two or more mental health comorbidities had more than twice the odds of being current smokers than those with no mental health conditions (OR 2.11; 95% CI = 1.99 to 2.24). Despite this, those with two or more mental health comorbidities (OR 0.77; 95% CI = 0.61 to 0.98) were less likely to receive smoking cessation advice, but absolute differences were small.",Patterns of comorbidity are associated with variation in smoking status and the delivery of smoking cessation advice among people with CHD in primary care. Those from the most deprived areas and those with mental health problems are considerably more likely to be current smokers and require additional smoking cessation support.
9104,27919490,Quantitative visual tests after poorly recovered optic neuritis due to multiple sclerosis,"Longbrake EE, Lancia S, Tutlam N, Trinkaus K, Naismith RT.",Mult Scler Relat Disord. 2016 Nov;10:198-203. doi: 10.1016/j.msard.2016.10.009. Epub 2016 Nov 4.,Longbrake EE,Mult Scler Relat Disord,2016,2016/12/07,PMC5392253,NIHMS829490,10.1016/j.msard.2016.10.009,Visual dysfunction in MS can be quantified using a variety of tests. Many vision tests have not been formally evaluated among MS patients with existing visual dysfunction.,"Evaluate several versions of visual acuity and contrast sensitivity tests, measures of central and peripheral vision, retina structure, electrophysiologic function, and quality of life among MS patients with moderate/severe visual dysfunction.","Cross-sectional study of 46 patients with stable, incompletely recovered optic neuritis. Testing included Snellen eye charts, several Sloan low contrast charts, Pelli Robson (PR) contrast sensitivity charts, optical coherence tomography, visual fields, Farnsworth Munsell 100-hue test, visual evoked potentials (VEP), and visual function quality of life (VFQ-25) testing.","98% of eyes could read two lines of the PR chart, while only 43% read the 2.5% contrast chart. Low contrast tests correlated strongly with each other and with retinal nerve fiber layer (RNFL) thickness, visual fields, and color vision but not with VEPs. For patients with RNFL <75µm, VFQ-25 scores dropped by approximately 2 points for every 1µm decrease in RNFL.","Among MS patients with visual impairment due to optic neuritis, PR contrast sensitivity could be utilized as a single chart. Visual quality of life was associated with RNFL thinning below 75µm."
9105,27918196,Riboflavin as an independent and accurate biomarker for adherence in a randomized double-blind and placebo-controlled clinical trial,"Ramanujam VS, Nayeem F, Anderson KE, Kuo YF, Chen NW, Ju H, Lu LW.",Biomarkers. 2017 Sep;22(6):508-516. doi: 10.1080/1354750X.2016.1269201. Epub 2016 Dec 23.,Ramanujam VS,Biomarkers,2017,2016/12/06,PMC5613754,NIHMS906962,10.1080/1354750X.2016.1269201,Medication adherence is critical for success of clinical trials.,To assess oral riboflavin is an adherence marker.,Riboflavin was incorporated into active treatment and placebo pills for a clinical trial lasting for 2 years.,"The accuracy (area under the receiver operating curve) of urinary riboflavin was 0.91 as a binary classifier of adherence, and was similar or better than for two active study ingredients daidzein (0.92) and genistein (0.87) (all p < 0.0001). Decreased adherence over time was similar in the two study groups.",Riboflavin is an accurate and useful biomarker for study pill ingestion.
9106,27916776,Favorable Clinical Outcomes of Transcatheter Aortic Valve Implantation in Japanese Patients　- First Report From the Post-Approval K-TAVI Registry,"Takimoto S, Saito N, Minakata K, Shirai S, Isotani A, Arai Y, Hanyu M, Komiya T, Shimamoto T, Goto T, Fuku Y, Ehara N, Furukawa Y, Koyama T, Nagasawa A, Tamura T, Miyake M, Yamanaka K, Sakaguchi H, Murata K, Onodera T, Yamazaki F, Nakai M, Taniguchi T, Sakata R, Kimura T.",Circ J. 2016 Dec 22;81(1):103-109. doi: 10.1253/circj.CJ-16-0546. Epub 2016 Dec 3.,Takimoto S,Circ J,2016,2016/12/06,,,10.1253/circj.CJ-16-0546,"Very limited data exist on the outcomes of transcatheter aortic valve implantation (TAVI) since Japanese marketing approval of the first TAVI device.Methods and Results:The Kyoto University-related hospital Transcatheter Aortic Valve Implantation (K-TAVI) registry includes prospectively collected data from 6 participating hospitals in Japan. We included 302 patients with severe aortic stenosis who underwent TAVI using the SAPIEN XT balloon-expandable valve via transfemoral (TF; n=203, 67%) or transapical (TA; n=99, 33%) approach between October 2013 and September 2015. Device success rate, based on the Valve Academic Research Consortium-2 criteria, was very high in the TF (97.0%) and TA (99.0%) groups. The 30-day mortality rates were 1.5% and 1.0% in the TF and TA groups, respectively. Major complications included stroke (transient or persistent: 2.3%), annulus rupture (1.0%), coronary intervention (1.0%), major vascular complications (1.7%), and permanent pacemaker implantation (5.4%). The procedure times of the post-proctoring period (n=210) were decreased compared with those of the proctoring period (n=89) without affecting the clinical outcomes. The survival rates at 6 and 12 months were 96.9% and 92.5% in the TF group, and 93.9% and 91.8% in the TA group, respectively.",None,None,None,The K-TAVI registry data revealed that the early outcomes of TAVI using the SAPIEN XT were favorable in real-world Japanese patients.
9107,27916374,Transfer and priming of surgical skills across minimally invasive surgical platforms,"Zihni A, Ge T, Ray S, Wang R, Liang Z, Cavallo JA, Awad MM.",J Surg Res. 2016 Nov;206(1):48-52. doi: 10.1016/j.jss.2016.06.026. Epub 2016 Jun 16.,Zihni A,J Surg Res,2016,2016/12/06,,,10.1016/j.jss.2016.06.026,None,None,None,None,None
9108,27911917,Utilizing Estimated Creatinine Excretion to Improve the Performance of Spot Urine Samples for the Determination of Proteinuria in Kidney Transplant Recipients,"Wang MK, White C, Akbari A, Brown P, Hussain N, Hiremath S, Knoll G.",PLoS One. 2016 Dec 2;11(12):e0166547. doi: 10.1371/journal.pone.0166547. eCollection 2016.,Wang MK,PLoS One,2016,2016/12/03,PMC5135043,,10.1371/journal.pone.0166547,"Agreement between spot and 24-hour urine protein measurements is poor in kidney transplant recipients. We investigated whether using formulae to estimate creatinine excretion rate (eCER), rather than assuming a standard creatinine excretion rate, would improve the estimation of proteinuria from spot urine samples in kidney transplant recipients.",None,"We measured 24 hour urine protein and albumin and spot albumin:creatinine (ACR) and spot protein:creatinine (PCR) in 181 Kidney transplant recipients."" We utilized 6 different published formulae (Fotheringham, CKD-EPI, Cockcroft-Gault, Walser, Goldwasser and Rule) to estimate eCER and from it calculated estimated albumin and protein excretion rate (eAER and ePER). Bias, precision and accuracy (within 15%, 30% and 50%) of ACR, PCR, eAER, ePER were compared to 24-hour urine protein and albumin.","ACR and PCR significantly underestimated 24-hour albumin and protein excretion (ACR Bias (IQR), -5.9 mg/day; p< 0.01; PCR Bias, (IQR), -35.2 mg/day; p<0.01). None of the formulae used to calculate eAER or ePER had a bias that was significantly different from the 24-hour collection (eAER and ePER bias: Fotheringham -0.3 and 7.2, CKD-EPI 0.3 and 13.5, Cockcroft-Gault -3.2 and -13.9, Walser -1.7 and 3.1, Goldwasser -1.3 and -0.5, Rule -0.6 and 4.2 mg/day respectively. The accuracy for ACR and PCR were lower (within 30% being 38% and 43% respectively) than the corresponding values estimated by utilizing eCER (for eAER 46% to 49% and ePER 46-54%).",Utilizing estimated creatinine excretion to calculate eAER and ePER improves the estimation of 24-hour albuminuria/proteinuria with spot urine samples in kidney transplant recipients.
9109,27906937,Transversus Abdominis Plane Block in the Management of Acute Postoperative Pain Syndrome after Caesarean Section: A Randomized Controlled Clinical Trial,"Fusco P, Cofini V, Petrucci E, Scimia P, Pozone T, Paladini G, Carta G, Necozione S, Borghi B, Marinangeli F.",Pain Physician. 2016 Nov-Dec;19(8):583-591.,Fusco P,Pain Physician,2016,2016/12/02,,,,None,None,None,None,None
9110,27906104,The effects of computer-based mindfulness training on Self-control and Mindfulness within Ambulatorily assessed network Systems across Health-related domains in a healthy student population (SMASH): study protocol for a randomized controlled trial,"Rowland Z, Wenzel M, Kubiak T.",Trials. 2016 Dec 1;17(1):570. doi: 10.1186/s13063-016-1707-4.,Rowland Z,Trials,2016,2016/12/02,PMC5134121,,10.1186/s13063-016-1707-4,None,None,None,None,None
9111,27905910,Is standardized care feasible in the emergency setting? A case matched analysis of patients undergoing laparoscopic cholecystectomy,"Grass F, Cachemaille M, Blanc C, Fournier N, Halkic N, Demartines N, Hübner M.",BMC Surg. 2016 Dec 1;16(1):78. doi: 10.1186/s12893-016-0194-6.,Grass F,BMC Surg,2016,2016/12/02,PMC5131530,,10.1186/s12893-016-0194-6,"Immediate laparoscopic cholecystectomy is the accepted standard for the treatment of acute cholecystitis. The aim of the present study was to evaluate the feasibility of a standardized approach with tailored care maps for pre- and postoperative care by comparing pain, nausea and patient satisfaction after elective and emergent laparoscopic cholecystectomy.",None,"From January 2014 until April 2015, data on pain and nausea management were prospectively recorded for all elective and emergency procedures in the department of visceral surgery. This prospective observational study compared consecutive laparoscopic elective vs. emergency cholecystectomies. Visual analogue scales (VAS) were used to measure pain, nausea, and satisfaction from recovery room until 96 hours postoperatively.","Final analysis included 168 (79%) elective cholecystectomies and 44 (21%) emergent procedures. Demographics (Age, gender, BMI and ASA-scores) were comparable between the 2 groups. In the emergency group, patients did not receive anxiolytic medication (0% vs.13%, p = 0.009) and less postoperative nausea and vomiting (PONV) prophylaxis (77% vs. 97% p = <0.001). Perioperative pain management was similar in terms of opioid consumption (median amount of fentanyl 450ug [IQR 350-500] vs. 450ug [375-550], p = 0.456) and wound infiltration rates (24% vs. 25%, p = 0.799). Postoperative consumption of paracetamol, metamizole and opiod medications were similar between the 2 groups. VAS scores for pain (p = 0.191) and nausea (p = 0.392) were low for both groups. Patient satisfaction was equally high in both clinical settings (VAS 8.5 ± 1.1 vs. 8.6 ± 1.1, p = 0.68).","A standardized pathway allows equally successful control of pain and nausea after both elective and emergency laparoscopic cholecystectomy. This study was retrospectively registered by March 01, 2016 in the following trial register: www.researchregistry.com (UIN researchregistry993)."
9112,27900992,Improved Intermittent-clamped Drainage in Lower Lumbar Internal Fixation: A Randomized Prospective Study,"Hao QY, Liu CY, Fu CJ, Zhang XH, Tan MS.",Chin Med J (Engl). 2016 Dec 5;129(23):2804-2809. doi: 10.4103/0366-6999.194639.,Hao QY,Chin Med J (Engl),2016,2016/12/01,PMC5146786,,10.4103/0366-6999.194639,"Continuous negative pressure drainage (CNPD) is widely used after lower lumbar internal fixation; however, it may cause tremendous blood loss and lead to postoperative hemorrhagic anemia. The present study explored the efficacy and safety of improved intermittent-clamped drainage (ICD) for lower lumbar internal fixation.",None,"This was a prospective study that included 156 patients with decompression of the spinal canal and internal fixation for the first time from January 2012 to December 2014. The patients were randomly divided into ICD group and CNPD group, and each group had 78 cases. A drainage tube was placed under the deep fascia in all patients within 10 min after the commencement of wound closure. The postoperative drainage amount at different time points, the hemoglobin level, and postoperative complications were recorded and compared between the two groups. Shapiro-Wilk test, independent samples t-test, and Mann-Whitney U-test were used in this study.","The drainage amount was significantly reduced in the ICD group, as compared with the CNPD group (Z = 10.74, P < 0.01). The mean total drainage amount (in ml) of the single-segment and two-segment procedures was significantly greater in the CNPD group than the ICD group (Z = 10.63 and 10.75, respectively; P < 0.01). For the adverse events, there was no significant difference in postoperative temperature, wound problem, and complications between the two groups.","The present study showed a statistically significant reduction in postoperative drainage amount between ICD and CNPD groups, and ICD is an effective, convenient, and safe method for routine use in lower lumbar surgery. It is essential to focus on the effect of clamping drainage with long-segment surgical procedure and complex lumbar disease in the further investigation, as well as the effect of clamping on long-term functional outcomes."
9113,27894358,"Attentional and affective consequences of technology supported mindfulness training: a randomised, active control, efficacy trial","Bhayee S, Tomaszewski P, Lee DH, Moffat G, Pino L, Moreno S, Farb NA.",BMC Psychol. 2016 Nov 29;4(1):60. doi: 10.1186/s40359-016-0168-6.,Bhayee S,BMC Psychol,2016,2016/11/30,PMC5127005,,10.1186/s40359-016-0168-6,"Mindfulness training (MT) programs represent an approach to attention training with well-validated mental health benefits. However, research supporting MT efficacy is based predominantly on weekly-meeting, facilitator-led, group-intervention formats. It is unknown whether participants might benefit from neurofeedback-assisted, technology-supported MT (N-tsMT), in which meditation is delivered individually, without the need for a facilitator, travel to a training site, or the presence of a supportive group environment. Mirroring the validation of group MT interventions, the first step in addressing this question requires identifying whether N-tsMT promotes measurable benefits. Here, we report on an initial investigation of a commercial N-tsMT system.",None,"In a randomized, active control trial, community-dwelling healthy adult participants carried out 6 weeks of daily practice, receiving either N-tsMT (n = 13), or a control condition of daily online math training (n = 13). Training effects were assessed on target measures of attention and well-being. Participants also completed daily post-training surveys assessing effects on mood, body awareness, calm, effort, and stress.","Analysis revealed training effects specific to N-tsMT, with attentional improvements in overall reaction time on a Stroop task, and well-being improvements via reduced somatic symptoms on the Brief Symptom Inventory. Attention and well-being improvements were correlated, and effects were greatest for the most neurotic participants. However, secondary, exploratory measures of attention and well-being did not show training-specific effects. N-tsMT was associated with greater body awareness and calm, and initially greater effort that later converged with effort in the control condition.","Preliminary findings indicate that N-tsMT promotes modest benefits for attention and subjective well-being in a healthy community sample relative to an active control condition. However, the findings would benefit from replication in a larger sample, and more intensive practice or more comprehensive MT instruction might be required to promote the broader benefits typically reported in group format, facilitated MT."
